No.	MolID	Molecule	ZM1	ZM1V	ZM2	ZM2V	Qindex	SNar	HNar	GNar	Xt	Dz	Ram	Pol	LPRS	VDA	MSD	SMTI	SMTIV	GMTI	GMTIV	Xu	SPI	W	WA	Har	Har2	QW	TI1	TI2	STN	HyDp	RHyDp	w	ww	Rww	D/D	Wap	WhetZ	Whetm	Whetv	Whete	Whetp	J	JhetZ	Jhetm	Jhetv	Jhete	Jhetp	MAXDN	MAXDP	DELS	TIE	S0K	S1K	S2K	S3K	PHI	BLI	PW2	PW3	PW4	PW5	PJI2	CSI	ECC	AECC	DECC	MDDD	UNIP	CENT	VAR	BAC	Lop	ICR	D/Dr06	T(Cl..Cl)	X0	X1	X2	X3	X4	X5	X0A	X2A	X3A	X4A	X5A	X0v	X1v	X2v	X3v	X4v	X5v	X0Av	X1Av	X2Av	X3Av	X4Av	X0sol	X1sol	X2sol	X3sol	X4sol	X5sol	XMOD	RDCHI	RDSQ
11	PCB_011.HIN	3,3'-dichloro-1,1'-biphenyl	70	137.21	79	154.222	10	9.94	1.909	2.034	0.317	28.667	4	18	52.431	43	0.276	1312	1846.765	1275	2408.012	14.043	5.84	301	3.308	23.659	38.805	222	13.304	2.305	3.584	783	27.39	593	2585	8.133	49.345	1419	208.843	208.475	225.667	220.212	220.658	1.861	2.637	2.64	2.492	2.537	2.533	0.928	1.79	7.208	14.278	39.303	9.564	4.031	2.293	2.753	1.005	0.572	0.316	0.171	0.097	0.75	166	80	5.714	0.898	6.286	31	168	24	5	0.673	1.95	82.578	7	9.966	6.754	6.064	4.621	3.818	3.009	0.712	0.303	0.193	0.127	0.084	8.887	5.027	3.894	2.453	1.717	1.141	0.635	0.335	0.195	0.102	0.057	10.966	7.331	6.88	5.145	4.325	3.437	46.875	2.644	85.882
12	PCB_012.HIN	3,4-dichloro-1,1'-biphenyl	70	137.21	80	155.222	10	9.94	1.909	2.034	0.317	28.667	4	19	52.509	43.286	0.28	1322	1863.21	1287	2430.926	14.085	5.782	303	3.33	23.683	38.813	220.167	13.194	2.262	3.584	800	27.418	583	2490	8.192	50.34	1393	209.843	209.475	226.667	221.212	221.658	1.85	2.63	2.633	2.484	2.529	2.525	1.077	1.821	7.256	14.802	49.303	9.564	4.031	2.106	2.753	1.007	0.574	0.333	0.164	0.093	1	181	87	6.214	0.959	6.898	31	172	26	5	0.673	2.182	83.78	3	9.966	6.771	5.926	4.955	3.623	2.977	0.712	0.296	0.198	0.125	0.083	8.887	5.033	3.809	2.766	1.604	1.125	0.635	0.336	0.19	0.111	0.055	10.966	7.348	6.667	5.87	4.009	3.375	46.976	2.646	85.933
13	PCB_013.HIN	3,4'-dichloro-1,1'-biphenyl	70	137.21	79	154.222	10	9.94	1.909	2.034	0.317	28.667	4	18	52.73	44	0.286	1342	1880.988	1307	2446.729	14.14	5.95	308	3.385	23.588	38.605	223.167	13.374	2.343	3.584	830	27.279	586	2517	8.175	50.711	1419	213.51	213.142	230.333	224.879	225.325	1.82	2.58	2.583	2.443	2.486	2.482	0.921	1.789	7.01	14.139	49.303	9.564	4.031	2.293	2.753	1.005	0.574	0.317	0.162	0.095	1	183	88	6.286	1.041	6.571	32	168	30	5	0.673	2.217	83.78	8	9.966	6.754	6.052	4.704	3.666	3.006	0.712	0.303	0.196	0.126	0.084	8.887	5.027	3.89	2.489	1.627	1.14	0.635	0.335	0.195	0.104	0.056	10.966	7.331	6.868	5.255	4.087	3.434	46.875	2.659	85.386
14	PCB_014.HIN	3,5-dichloro-1,1'-biphenyl	70	137.21	79	154.222	10	9.94	1.909	2.034	0.317	28.667	4	18	52.288	42.571	0.273	1300	1836.099	1263	2398.531	14.016	5.743	298	3.275	23.701	38.912	219.667	13.164	2.214	3.584	765	27.455	588	2540	8.166	49.376	1393	206.51	206.142	223.333	217.879	218.325	1.882	2.673	2.677	2.521	2.568	2.564	1.003	1.804	7.337	14.475	43.303	9.564	4.031	2.293	2.753	1.005	0.57	0.314	0.179	0.097	0.75	166	80	5.714	0.898	6.653	30	176	26	5	0.673	1.95	82.578	4	9.966	6.754	6.076	4.531	4	2.946	0.712	0.304	0.189	0.129	0.082	8.887	5.027	3.897	2.406	1.877	1.116	0.635	0.335	0.195	0.1	0.061	10.966	7.331	6.892	5.003	4.764	3.331	46.875	2.639	86.152
15	PCB_015.HIN	4,4'-dichloro-1,1'-biphenyl	70	137.21	79	154.222	10	9.94	1.909	2.034	0.317	28.667	4	18	53.024	45	0.295	1372	1915.21	1339	2485.444	14.234	6.055	315	3.462	23.518	38.409	224.333	13.444	2.38	3.584	878	27.171	579	2450	8.218	52.113	1419	218.176	217.809	235	229.545	229.991	1.78	2.525	2.528	2.397	2.436	2.433	0.914	1.692	6.769	14.007	31.303	9.564	4.031	2.293	2.753	1.005	0.577	0.317	0.154	0.095	0.8	200	96	6.857	1.02	6.857	33	168	30	5	0.673	2.236	84.982	9	9.966	6.754	6.04	4.788	3.515	3.006	0.712	0.302	0.199	0.126	0.084	8.887	5.027	3.887	2.526	1.537	1.14	0.635	0.335	0.194	0.105	0.055	10.966	7.331	6.856	5.365	3.848	3.434	46.875	2.674	84.899
16	PCB_016.HIN	2,3,2'-trichloro-1,1'-biphenyl	76	144.815	89	166.333	11	10.345	1.837	1.993	0.311	31	5	23	57.148	45.867	0.252	1478	2039.259	1420	2583.136	14.766	7.198	344	3.276	26.071	43.952	260.667	14.612	2.177	3.584	870	30.467	710	3233	9.589	55.544	1676	234.824	234.229	262	253.188	253.909	2.005	2.878	2.884	2.647	2.716	2.71	1.132	1.998	11.596	19.661	58.603	10.805	4.434	2.12	3.194	1.035	0.581	0.355	0.184	0.096	0.75	175	85	5.667	0.8	6.942	32	208	26	10	0.725	1.889	88.1	14	10.837	7.198	6.357	5.498	4.208	3.264	0.722	0.289	0.19	0.12	0.08	9.943	5.522	4.274	3.264	2.031	1.342	0.663	0.345	0.194	0.113	0.058	12.337	8.064	7.432	6.845	5.033	3.998	52.717	2.648	97.844
17	PCB_017.HIN	2,4,2'-trichloro-1,1'-biphenyl	76	144.815	88	165.333	11	10.345	1.837	1.993	0.311	31	5	22	57.468	46.933	0.26	1512	2077.037	1456	2625.012	14.866	7.329	352	3.352	25.949	43.663	262.333	14.706	2.198	3.584	920	30.285	702	3157	9.642	57.121	1676	240.157	239.562	267.333	258.522	259.243	1.96	2.815	2.82	2.596	2.662	2.656	1.06	1.982	11.331	18.977	58.603	10.805	4.434	2.278	3.194	1.034	0.581	0.34	0.184	0.098	1	192	93	6.2	0.907	7.271	33	209	32	10	0.725	2.149	89.302	16	10.837	7.182	6.485	5.226	4.306	3.262	0.722	0.295	0.187	0.123	0.08	9.943	5.516	4.355	2.973	2.135	1.344	0.663	0.345	0.198	0.106	0.061	12.337	8.048	7.635	6.178	5.351	3.997	52.616	2.668	97.096
18	PCB_018.HIN	2,5,2'-trichloro-1,1'-biphenyl	76	144.815	88	165.333	11	10.345	1.837	1.993	0.311	31	5	22	57.227	46.133	0.253	1486	2046.37	1428	2589.457	14.788	7.268	346	3.295	26	43.819	261.333	14.65	2.16	3.584	879	30.367	708	3220	9.62	56.115	1676	236.157	235.562	263.333	254.522	255.243	1.994	2.862	2.868	2.635	2.703	2.698	1.021	1.974	11.502	19.075	58.603	10.805	4.434	2.278	3.194	1.034	0.581	0.341	0.183	0.106	0.75	175	85	5.667	0.8	6.942	32	212	27	10	0.725	1.889	88.1	16	10.837	7.182	6.485	5.248	4.154	3.542	0.722	0.295	0.187	0.119	0.082	9.943	5.516	4.355	2.987	2.013	1.536	0.663	0.345	0.198	0.107	0.058	12.337	8.048	7.635	6.227	4.957	4.647	52.616	2.657	97.482
19	PCB_019.HIN	2,6,2'-trichloro-1,1'-biphenyl	76	144.815	89	166.333	11	10.345	1.837	1.993	0.311	31	5	23	56.882	45.067	0.246	1452	2008.593	1392	2547.58	14.699	7.125	338	3.219	26.16	44.176	257.667	14.444	2.08	3.584	835	30.602	716	3302	9.573	54.718	1676	230.824	230.229	258	249.188	249.909	2.046	2.935	2.941	2.693	2.766	2.759	1.06	1.982	11.876	19.766	52.603	10.805	4.434	2.12	3.194	1.035	0.579	0.351	0.197	0.101	0.75	173	84	5.6	0.747	6.853	31	211	26	10	0.725	1.797	87.15	14	10.837	7.198	6.388	5.305	4.468	3.357	0.722	0.29	0.183	0.121	0.08	9.943	5.522	4.298	3.065	2.25	1.42	0.663	0.345	0.195	0.106	0.061	12.337	8.064	7.501	6.337	5.593	4.233	52.717	2.635	98.433
20	PCB_020.HIN	2,3,3'-trichloro-1,1'-biphenyl	76	144.815	88	165.333	11	10.345	1.837	1.993	0.311	31	5	22	57.49	46.933	0.259	1512	2077.037	1456	2625.012	14.852	7.33	352	3.352	25.926	43.621	264.667	14.837	2.273	3.584	916	30.252	702	3145	9.62	56.745	1676	240.157	239.562	267.333	258.522	259.243	1.955	2.808	2.813	2.59	2.656	2.65	1.117	1.994	11.242	19.031	58.603	10.805	4.434	2.278	3.194	1.034	0.582	0.342	0.176	0.093	0.75	177	86	5.733	0.853	7.004	33	209	28	10	0.725	1.933	89.049	16	10.837	7.182	6.463	5.352	4.158	3.165	0.722	0.294	0.191	0.122	0.079	9.943	5.516	4.333	3.141	1.983	1.267	0.663	0.345	0.197	0.112	0.058	12.337	8.048	7.575	6.604	4.94	3.761	52.616	2.668	96.961
21	PCB_021.HIN	2,3,4-trichloro-1,1'-biphenyl	76	144.815	89	166.333	11	10.345	1.837	1.993	0.311	31	5	23	57.47	46.933	0.26	1514	2086.37	1460	2641.605	14.877	7.229	352	3.352	25.985	43.713	261	14.631	2.178	3.584	922	30.333	686	2993	9.714	57.906	1624	239.49	238.896	266.667	257.855	258.576	1.959	2.829	2.834	2.603	2.671	2.665	1.264	2.006	11.218	19.812	51.848	10.805	4.434	2.12	3.194	1.035	0.583	0.355	0.177	0.091	1	192	93	6.2	0.907	7.262	33	209	30	10	0.725	2.149	90.251	10	10.837	7.198	6.335	5.613	4.117	3.09	0.722	0.288	0.194	0.121	0.077	9.943	5.522	4.252	3.414	2.011	1.233	0.663	0.345	0.193	0.118	0.059	12.337	8.064	7.372	7.211	4.99	3.625	52.717	2.666	97.225
22	PCB_022.HIN	2,3,4'-trichloro-1,1'-biphenyl	76	144.815	88	165.333	11	10.345	1.837	1.993	0.311	31	5	22	57.802	48	0.268	1546	2114.815	1492	2666.889	14.952	7.439	360	3.429	25.848	43.398	266	14.911	2.31	3.584	970	30.129	694	3065	9.664	58.247	1676	245.49	244.896	272.667	263.855	264.576	1.913	2.748	2.753	2.542	2.604	2.599	1.107	1.991	11.035	18.837	54.603	10.805	4.434	2.278	3.194	1.034	0.585	0.343	0.169	0.093	1	196	95	6.333	1.022	7.333	34	210	35	10	0.725	2.206	90.251	18	10.837	7.182	6.451	5.436	4.002	3.198	0.722	0.293	0.194	0.121	0.08	9.943	5.516	4.33	3.178	1.892	1.279	0.663	0.345	0.197	0.113	0.057	12.337	8.048	7.563	6.714	4.697	3.812	52.616	2.684	96.41
23	PCB_023.HIN	2,3,5-trichloro-1,1'-biphenyl	76	144.815	88	165.333	11	10.345	1.837	1.993	0.311	31	5	22	57.308	46.4	0.255	1496	2062.815	1440	2612.37	14.824	7.228	348	3.314	25.981	43.762	260.667	14.612	2.134	3.584	892	30.336	690	3037	9.706	57.275	1624	236.824	236.229	264	255.188	255.909	1.982	2.86	2.865	2.63	2.699	2.693	1.192	1.998	11.315	19.379	54.603	10.805	4.434	2.278	3.194	1.034	0.58	0.34	0.184	0.102	0.75	177	86	5.733	0.853	7.227	32	216	30	10	0.725	1.933	89.049	12	10.837	7.182	6.475	5.277	4.231	3.349	0.722	0.294	0.188	0.121	0.08	9.943	5.516	4.337	3.098	2.095	1.416	0.663	0.345	0.197	0.111	0.06	12.337	8.048	7.587	6.475	5.209	4.222	52.616	2.664	97.319
24	PCB_024.HIN	2,3,6-trichloro-1,1'-biphenyl	76	144.815	89	166.333	11	10.345	1.837	1.993	0.311	31	5	23	57.046	45.6	0.25	1470	2032.148	1412	2576.815	14.757	7.141	342	3.257	26.106	44.036	257.667	14.444	2.067	3.584	859	30.519	696	3100	9.68	56.326	1624	232.824	232.229	260	251.188	251.909	2.022	2.916	2.922	2.675	2.747	2.741	1.171	2.006	11.643	19.913	54.603	10.805	4.434	2.12	3.194	1.035	0.581	0.352	0.189	0.101	0.75	175	85	5.667	0.8	6.907	31	219	30	10	0.725	1.889	88.1	12	10.837	7.198	6.366	5.433	4.292	3.352	0.722	0.289	0.187	0.119	0.08	9.943	5.522	4.277	3.226	2.143	1.42	0.663	0.345	0.194	0.111	0.06	12.337	8.064	7.441	6.738	5.289	4.241	52.717	2.646	98.064
25	PCB_025.HIN	2,4,3'-trichloro-1,1'-biphenyl	76	144.815	87	164.333	11	10.345	1.837	1.993	0.311	31	5	21	57.803	48	0.267	1546	2114.815	1492	2666.889	14.95	7.457	360	3.429	25.806	43.338	266.333	14.93	2.294	3.584	967	30.075	694	3070	9.674	58.349	1676	245.49	244.896	272.667	263.855	264.576	1.912	2.748	2.753	2.541	2.604	2.598	1.037	1.978	10.98	18.37	58.603	10.805	4.434	2.455	3.194	1.033	0.582	0.328	0.176	0.095	1	194	94	6.267	0.987	7.333	34	210	32	10	0.725	2.182	90.251	18	10.837	7.165	6.591	5.08	4.259	3.132	0.722	0.3	0.188	0.125	0.078	9.943	5.51	4.415	2.85	2.087	1.257	0.663	0.344	0.201	0.106	0.061	12.337	8.031	7.779	5.937	5.261	3.715	52.515	2.688	96.228
26	PCB_026.HIN	2,5,3'-trichloro-1,1'-biphenyl	76	144.815	87	164.333	11	10.345	1.837	1.993	0.311	31	5	21	57.566	47.2	0.26	1520	2084.148	1464	2631.333	14.874	7.4	354	3.371	25.855	43.488	265.333	14.874	2.257	3.584	925	30.152	700	3132	9.651	57.316	1676	241.49	240.896	268.667	259.855	260.576	1.945	2.792	2.798	2.579	2.643	2.638	1.005	1.97	11.147	18.45	58.603	10.805	4.434	2.455	3.194	1.033	0.582	0.328	0.175	0.104	0.75	177	86	5.733	0.853	7.013	33	213	28	10	0.725	1.933	89.049	18	10.837	7.165	6.591	5.103	4.103	3.449	0.722	0.3	0.189	0.121	0.082	9.943	5.51	4.415	2.864	1.964	1.463	0.663	0.344	0.201	0.106	0.058	12.337	8.031	7.779	5.985	4.864	4.42	52.515	2.678	96.599
27	PCB_027.HIN	2,6,3'-trichloro-1,1'-biphenyl	76	144.815	88	165.333	11	10.345	1.837	1.993	0.311	31	5	22	57.23	46.133	0.253	1486	2046.37	1428	2589.457	14.787	7.263	346	3.295	26.011	43.836	261.667	14.668	2.179	3.584	880	30.381	708	3213	9.603	55.898	1676	236.157	235.562	263.333	254.522	255.243	1.994	2.862	2.867	2.634	2.703	2.697	1.037	1.978	11.515	19.103	52.603	10.805	4.434	2.278	3.194	1.034	0.58	0.339	0.188	0.094	0.75	175	85	5.667	0.8	6.907	32	212	28	10	0.725	1.889	88.1	16	10.837	7.182	6.495	5.154	4.467	3.118	0.722	0.295	0.184	0.124	0.078	9.943	5.516	4.358	2.941	2.224	1.254	0.663	0.345	0.198	0.105	0.062	12.337	8.048	7.645	6.09	5.574	3.703	52.616	2.655	97.525
28	PCB_028.HIN	2,4,4'-trichloro-1,1'-biphenyl	76	144.815	87	164.333	11	10.345	1.837	1.993	0.311	31	5	21	58.109	49.067	0.276	1580	2152.593	1528	2708.765	15.047	7.562	368	3.505	25.729	43.118	267.667	15.005	2.33	3.584	1022	29.954	686	2991	9.719	59.887	1676	250.824	250.229	278	269.188	269.909	1.872	2.69	2.695	2.494	2.554	2.549	1.03	1.975	10.774	18.181	54.603	10.805	4.434	2.455	3.194	1.033	0.584	0.329	0.169	0.095	0.8	213	103	6.867	0.96	7.671	35	211	35	10	0.725	2.2	91.453	20	10.837	7.165	6.579	5.164	4.103	3.167	0.722	0.299	0.191	0.124	0.079	9.943	5.51	4.411	2.886	1.997	1.27	0.663	0.344	0.201	0.107	0.061	12.337	8.031	7.767	6.047	5.019	3.768	52.515	2.703	95.685
29	PCB_029.HIN	2,4,5-trichloro-1,1'-biphenyl	76	144.815	88	165.333	11	10.345	1.837	1.993	0.311	31	5	22	57.551	47.2	0.262	1522	2093.481	1468	2647.926	14.896	7.299	354	3.371	25.914	43.58	261.667	14.668	2.167	3.584	931	30.233	684	2980	9.745	58.477	1624	240.824	240.229	268	259.188	259.909	1.947	2.811	2.816	2.59	2.656	2.651	1.193	1.982	11.123	19.215	51.848	10.805	4.434	2.278	3.194	1.034	0.582	0.343	0.177	0.1	1	192	93	6.2	0.907	7.547	33	213	30	10	0.725	2.149	90.251	12	10.837	7.182	6.465	5.345	4.107	3.349	0.722	0.294	0.191	0.121	0.08	9.943	5.516	4.334	3.13	2.017	1.416	0.663	0.345	0.197	0.112	0.059	12.337	8.048	7.578	6.565	5.014	4.222	52.616	2.676	96.863
30	PCB_030.HIN	2,4,6-trichloro-1,1'-biphenyl	76	144.815	88	165.333	11	10.345	1.837	1.993	0.311	31	5	22	57.29	46.4	0.256	1496	2062.815	1440	2612.37	14.834	7.222	348	3.314	26.014	43.82	259	14.519	2.091	3.584	897	30.383	690	3042	9.711	57.433	1624	236.824	236.229	264	255.188	255.909	1.987	2.867	2.873	2.635	2.705	2.699	1.121	1.989	11.417	19.342	48.603	10.805	4.434	2.278	3.194	1.034	0.578	0.337	0.196	0.095	1	190	92	6.133	0.844	7.227	32	216	30	10	0.725	2.106	89.302	12	10.837	7.182	6.507	5.057	4.689	3.039	0.722	0.296	0.181	0.127	0.076	9.943	5.516	4.361	2.884	2.458	1.219	0.663	0.345	0.198	0.103	0.066	12.337	8.048	7.656	5.913	6.23	3.563	52.616	2.661	97.495
31	PCB_031.HIN	2,5,4'-trichloro-1,1'-biphenyl	76	144.815	87	164.333	11	10.345	1.837	1.993	0.311	31	5	21	57.877	48.267	0.269	1554	2121.926	1500	2673.21	14.973	7.507	362	3.448	25.777	43.264	266.667	14.949	2.294	3.584	979	30.029	692	3052	9.695	58.818	1676	246.824	246.229	274	265.188	265.909	1.903	2.733	2.738	2.531	2.592	2.587	0.996	1.968	10.94	18.256	54.603	10.805	4.434	2.455	3.194	1.033	0.584	0.329	0.168	0.103	1	196	95	6.333	1.022	7.351	34	214	35	10	0.725	2.206	90.251	20	10.837	7.165	6.579	5.186	3.947	3.482	0.722	0.299	0.192	0.12	0.083	9.943	5.51	4.411	2.9	1.873	1.475	0.663	0.344	0.201	0.107	0.057	12.337	8.031	7.767	6.096	4.621	4.47	52.515	2.693	96.048
32	PCB_032.HIN	2,6,4'-trichloro-1,1'-biphenyl	76	144.815	88	165.333	11	10.345	1.837	1.993	0.311	31	5	22	57.547	47.2	0.262	1520	2084.148	1464	2631.333	14.889	7.375	354	3.371	25.929	43.606	263	14.743	2.217	3.584	933	30.254	700	3132	9.646	57.372	1676	241.49	240.896	268.667	259.855	260.576	1.95	2.8	2.805	2.584	2.649	2.644	1.023	1.975	11.304	18.891	48.603	10.805	4.434	2.278	3.194	1.034	0.583	0.34	0.182	0.094	1	194	94	6.267	0.951	7.227	33	213	35	10	0.725	2.149	89.302	18	10.837	7.182	6.483	5.238	4.308	3.188	0.722	0.295	0.187	0.123	0.08	9.943	5.516	4.354	2.978	2.132	1.279	0.663	0.345	0.198	0.106	0.061	12.337	8.048	7.633	6.2	5.327	3.809	52.616	2.671	96.959
33	PCB_033.HIN	2,3',4'-trichloro-1,1'-biphenyl	76	144.815	88	165.333	11	10.345	1.837	1.993	0.311	31	5	22	57.731	47.733	0.265	1538	2107.704	1484	2660.568	14.925	7.4	358	3.41	25.86	43.439	265.333	14.874	2.291	3.584	955	30.149	696	3088	9.659	57.947	1676	244.157	243.562	271.333	262.522	263.243	1.921	2.759	2.764	2.551	2.614	2.609	1.13	1.964	11.051	18.868	58.603	10.805	4.434	2.278	3.194	1.034	0.584	0.345	0.169	0.092	1	194	94	6.267	0.951	7.582	34	206	30	10	0.725	2.149	90.251	16	10.837	7.182	6.453	5.422	4.023	3.188	0.722	0.293	0.194	0.122	0.08	9.943	5.516	4.33	3.173	1.902	1.274	0.663	0.345	0.197	0.113	0.058	12.337	8.048	7.566	6.695	4.731	3.795	52.616	2.681	96.506
34	PCB_034.HIN	2,3',5'-trichloro-1,1'-biphenyl	76	144.815	87	164.333	11	10.345	1.837	1.993	0.311	31	5	21	57.491	46.933	0.259	1512	2077.037	1456	2625.012	14.851	7.348	352	3.352	25.885	43.562	264.667	14.837	2.244	3.584	913	30.198	702	3150	9.63	56.847	1676	240.157	239.562	267.333	258.522	259.243	1.954	2.806	2.812	2.59	2.655	2.649	1.058	1.966	11.187	18.56	52.603	10.805	4.434	2.455	3.194	1.033	0.58	0.327	0.184	0.095	0.75	177	86	5.733	0.853	7.262	33	209	26	10	0.725	1.933	89.049	16	10.837	7.165	6.603	4.998	4.404	3.122	0.722	0.3	0.185	0.126	0.078	9.943	5.51	4.418	2.813	2.176	1.252	0.663	0.344	0.201	0.104	0.062	12.337	8.031	7.79	5.828	5.49	3.699	52.515	2.673	96.781
35	PCB_035.HIN	3,4,3'-trichloro-1,1'-biphenyl	76	144.815	87	164.333	11	10.345	1.837	1.993	0.311	31	5	21	58.06	48.8	0.273	1572	2145.481	1520	2702.444	15.007	7.523	366	3.486	25.722	43.124	269.333	15.098	2.384	3.584	1003	29.946	688	3002	9.691	59.196	1676	249.49	248.896	276.667	267.855	268.576	1.875	2.695	2.699	2.498	2.558	2.553	1.117	1.827	10.707	18.299	58.603	10.805	4.434	2.455	3.194	1.033	0.585	0.333	0.162	0.093	1	196	95	6.333	1.022	7.653	35	207	30	10	0.725	2.206	91.2	18	10.837	7.165	6.56	5.282	3.927	3.204	0.722	0.298	0.196	0.123	0.08	9.943	5.51	4.39	3.052	1.832	1.281	0.663	0.344	0.2	0.113	0.057	12.337	8.031	7.709	6.459	4.566	3.816	52.515	2.701	95.663
36	PCB_036.HIN	3,5,3'-trichloro-1,1'-biphenyl	76	144.815	86	163.333	11	10.345	1.837	1.993	0.311	31	5	20	57.825	48	0.266	1546	2114.815	1492	2666.889	14.936	7.475	360	3.429	25.745	43.24	268.667	15.061	2.338	3.584	960	29.99	694	3063	9.661	58.069	1676	245.49	244.896	272.667	263.855	264.576	1.907	2.739	2.744	2.536	2.597	2.592	1.044	1.811	10.84	17.976	52.603	10.805	4.434	2.653	3.194	1.032	0.581	0.315	0.177	0.098	0.75	179	87	5.8	0.907	7.333	34	210	28	10	0.725	1.933	89.998	18	10.837	7.148	6.709	4.859	4.303	3.176	0.722	0.305	0.187	0.127	0.079	9.943	5.504	4.478	2.692	2.105	1.272	0.663	0.344	0.204	0.104	0.062	12.337	8.014	7.934	5.592	5.321	3.774	52.413	2.694	95.923
37	PCB_037.HIN	3,4,4'-trichloro-1,1'-biphenyl	76	144.815	87	164.333	11	10.345	1.837	1.993	0.311	31	5	21	58.362	49.867	0.281	1606	2183.259	1556	2744.321	15.103	7.624	374	3.562	25.648	42.91	270.667	15.173	2.419	3.584	1059	29.829	680	2924	9.737	60.762	1676	254.824	254.229	282	273.188	273.909	1.836	2.64	2.644	2.453	2.51	2.505	1.107	1.826	10.505	18.128	54.603	10.805	4.434	2.455	3.194	1.033	0.587	0.334	0.154	0.092	0.8	215	104	6.933	1.013	7.991	36	208	35	10	0.725	2.257	92.402	20	10.837	7.165	6.548	5.366	3.775	3.201	0.722	0.298	0.199	0.122	0.08	9.943	5.51	4.387	3.088	1.742	1.28	0.663	0.344	0.199	0.114	0.056	12.337	8.031	7.697	6.569	4.327	3.813	52.515	2.715	95.135
38	PCB_038.HIN	3,4,5-trichloro-1,1'-biphenyl	76	144.815	88	165.333	11	10.345	1.837	1.993	0.311	31	5	22	57.73	47.733	0.265	1540	2117.037	1488	2677.16	14.938	7.315	358	3.41	25.86	43.439	264	14.799	2.242	3.584	955	30.149	680	2930	9.741	58.855	1624	243.49	242.896	270.667	261.855	262.576	1.92	2.773	2.778	2.559	2.623	2.618	1.266	1.842	10.89	19.272	48.603	10.805	4.434	2.278	3.194	1.034	0.583	0.345	0.17	0.092	1	194	94	6.267	0.951	7.68	34	206	30	10	0.725	2.149	91.2	10	10.837	7.182	6.443	5.461	4.032	3.115	0.722	0.293	0.195	0.122	0.078	9.943	5.516	4.312	3.288	1.949	1.241	0.663	0.345	0.196	0.117	0.059	12.337	8.048	7.518	6.958	4.847	3.657	52.616	2.684	96.48
39	PCB_039.HIN	3,5,4'-trichloro-1,1'-biphenyl	76	144.815	86	163.333	11	10.345	1.837	1.993	0.311	31	5	20	58.13	49.067	0.275	1580	2152.593	1528	2708.765	15.033	7.578	368	3.505	25.669	43.023	270	15.136	2.374	3.584	1015	29.871	686	2984	9.706	59.598	1676	250.824	250.229	278	269.188	269.909	1.867	2.682	2.687	2.489	2.548	2.543	1.035	1.81	10.636	17.798	48.603	10.805	4.434	2.653	3.194	1.032	0.583	0.316	0.169	0.096	1	198	96	6.4	1.093	7.671	35	211	35	10	0.725	2.206	91.2	20	10.837	7.148	6.697	4.942	4.151	3.17	0.722	0.304	0.19	0.126	0.079	9.943	5.504	4.474	2.729	2.015	1.271	0.663	0.344	0.203	0.105	0.061	12.337	8.014	7.922	5.702	5.082	3.769	52.413	2.709	95.386
40	PCB_040.HIN	2,3,2',3'-tetrachloro-1,1'-biphenyl	82	152.42	97	176.445	12	10.751	1.778	1.958	0.305	33.333	6	26	62.659	51	0.244	1730	2323.086	1653	2854.259	15.646	8.751	408	3.4	28.234	48.638	312	16.429	2.262	3.584	1064	33.181	824	3796	11.118	64.529	1969	274.51	273.661	313.333	300.745	301.775	2.042	2.965	2.972	2.681	2.765	2.758	1.187	2.007	15.376	24.648	48	12.052	4.839	2.328	3.645	1.06	0.591	0.365	0.18	0.093	0.75	188	92	5.75	0.813	7.5	36	240	28	17	0.75	1.906	95.52	30	11.707	7.609	6.862	6.09	4.455	3.417	0.732	0.286	0.19	0.117	0.076	11	6.006	4.773	3.831	2.228	1.465	0.687	0.353	0.199	0.12	0.059	13.707	8.764	8.271	8.068	5.486	4.308	58.356	2.694	108.491
41	PCB_041.HIN	2,3,4,2'-tetrachloro-1,1'-biphenyl	82	152.42	97	176.445	12	10.751	1.778	1.958	0.305	33.333	6	26	62.796	51.5	0.248	1748	2346.642	1673	2883.494	15.7	8.764	412	3.433	28.202	48.539	310.833	16.368	2.226	3.584	1092	33.13	812	3682	11.192	65.898	1943	276.843	275.994	315.667	303.079	304.109	2.024	2.945	2.952	2.664	2.748	2.741	1.319	2.019	15.231	24.685	64	12.052	4.839	2.328	3.645	1.06	0.591	0.364	0.181	0.093	1	205	100	6.25	0.906	8	36	248	32	17	0.75	2.127	96.722	28	11.707	7.609	6.862	6.085	4.474	3.39	0.732	0.286	0.19	0.118	0.075	11	6.006	4.773	3.822	2.288	1.453	0.687	0.353	0.199	0.119	0.06	13.707	8.764	8.271	8.042	5.645	4.259	58.356	2.702	108.248
42	PCB_042.HIN	2,3,2',4'-tetrachloro-1,1'-biphenyl	82	152.42	96	175.445	12	10.751	1.778	1.958	0.305	33.333	6	25	62.982	52.125	0.252	1768	2364.42	1693	2899.296	15.746	8.875	417	3.475	28.107	48.331	313.833	16.526	2.282	3.584	1122	32.991	815	3709	11.174	66.269	1969	280.51	279.661	319.333	306.745	307.775	1.999	2.903	2.91	2.633	2.713	2.706	1.173	2.005	15.104	23.881	64	12.052	4.839	2.483	3.645	1.059	0.591	0.352	0.181	0.095	1	207	101	6.313	0.977	7.875	37	242	36	17	0.75	2.18	96.722	33	11.707	7.592	6.991	5.818	4.552	3.413	0.732	0.291	0.188	0.12	0.076	11	6	4.854	3.54	2.332	1.467	0.687	0.353	0.202	0.114	0.061	13.707	8.747	8.474	7.401	5.804	4.306	58.255	2.714	107.701
